Distrikt,Adresse,Type,Tømningshyppighed,Placering,Andet,northing,easting
Vest,Chr. Winthers Vej 23,Holcher,2 gange,ved busstop,,56.15257,10.15579
Vest,Vibyvej / Tousparken,Holcher,2 gange,ved busstop,,56.14897,10.15463
Vest,Th. Thaarups Vej 42-44,lille med huller,2 gange,ved tunnel,Viby Ringvej underføring - bag,56.14926,10.14887
Vest,Rytoften / Åby Ringvej,RM 30,2 gange,ved busstop,,56.16592,10.14950
Vest,Hasle Centervej  219,RM 30,2 gange,ved busstop,,56.16689,10.15429
Vest,Rymarken / Ryhavevej 28,Holcher,2 gange,ved busstop,,56.16662,10.15751
Vest,Haslevej 57,Holcher,2 gange,ved busstop,,56.16009,10.16383
Vest,Haslevej o.f. 14,Holcher,2 gange,ved busstop,v/ Kvickly p.plads,56.15614,10.16531
Vest,Silkeborgvej / Haslevej,Holcher,2 gange,ved busstop - øst,v/ Kvickly p.plads,56.15527,10.16524
Vest,Silkeborgvej / Haslevej,RM 70,2 gange,ved busstop - vest,v/ Kvickly p.plads,56.15526,10.16500
Vest,Silkeborgvej 290 A,Holcher,2 gange,ved busstop,Åbyhøj Kirke,56.15474,10.15821
Vest,Silkeborgvej / Johs. Ewalds Vej 1,RM 512,2 gange,ved busstop - vest,,56.15435,10.15292
Vest,Silkeborgvej 326,Holcher,2 gange,ved busstop,,56.15412,10.14948
Vest,Silkeborgvej v/ Tousvej 2,Holcher,2 gange,ved busstop,,56.15344,10.14459
Vest,Silkeborgvej 345,Holcher,2 gange,ved busstop,,56.15396,10.14927
Vest,Silkeborgvej 311 B,Holcher,2 gange,ved busstop,,56.15438,10.15534
Vest,Silkeborgvej 279,Holcher,2 gange,ved busstop,,56.15470,10.16052
Vest,Silkeborgvej  261 / Thorsvej,Holcher,2 gange,ved busstop,,56.15513,10.16616
Vest,Silkeborgvej 229,Holcher,2 gange,ved busstop,,56.15547,10.17091
Vest,Silkeborgvej / Heimdalsvej 1,Holcher,2 gange,ved busstop,,56.15585,10.17638
Vest,Silkeborgvej 41,Holcher,2 gange,ved busstop,,56.15608,10.18089
Vest,Silkeborgvej 94,Holcher,2 gange,ved busstop,,56.15637,10.18166
Vest,Silkeborgvej / Birkeparken 1,RM 70,2 gange,på stander,ved containerplads,56.15602,10.17576
Vest,Silkeborgvej  202,Holcher,2 gange,ved busstop,ved Birkeparken,56.15597,10.17534
Vest,Silkeborgvej 224,SvingLine,2 gange,ved busstop, bænk på Åby Torv,56.15554,10.16928
Vest,Haslevej 14,Holcher,2 gange,ved busstop,overfor Kvickly p.plads,56.15623,10.16543
Vest,"Haslevej o,f, 65",RM 30,2 gange,ved busstop,,56.16086,10.16370
Vest,Klokkervej 38,RM 30,2 gange,ved busstop,ved Børnehuset,56.16139,10.15883
Vest,Dr. Holsts Vej / Digterparken,Holcher,2 gange,bus endestation,buslomme,56.15853,10.14442
Vest,Klokkervej 82,Holcher,2 gange,ved busstop,Enghaven Haveforening,56.16032,10.15309
Vest,Klokkervej o.f. 30,Holcher,2 gange,ved busstop,v/ regnvandsbassin,56.16147,10.16007
Vest,Ryhavevej 8/ Viborgvej,Holcher,2 gange,ved busstop,,56.16705,10.16240
Vest,Rymarken / Ryhavevej,RM 70,2 gange,ved busstop,,56.16689,10.15763
Vest,Rymarken / Åby Ringvej,Holcher,2 gange,ved busstop,,56.16918,10.15452
Vest,Rymarken 2 / Åby Ringvej,Holcher,2 gange,ved busstop,,56.16899,10.15429
Vest,Gammel Stillingvej  før 409,Swingline,1 gang,ved busstop,ved lægehus,56.14796,10.00141
Vest,Sabro Kirkevej 155,RM 30,1 gang,ved busstop,,56.21548,10.02504
Vest,Vistoftvej / Sabro Skovvej 32,RM 30,1 gang,ved busstop,,56.21226,10.03694
Vest,Vistoftvej / Damvej 1 A,lille med huller,1 gang,ved busstop,,56.20824,10.03701
Vest,Gl. Viborgvej 131 A,lille med huller,1 gang,ved busstop,,56.20146,10.05652
Vest,Gl. Viborgvej 74,RM 30,1 gang,ved busstop,overfor Løvkærvej,56.19779,10.06579
Vest,Louisevej 11,Holcher,1 gang,ved busstop,,56.15167,10.13453
Vest,Brabrand Skovvej / Louisevej 74,Holcher,1 gang,ved busstop,,56.14938,10.13508
Vest,Brabrand Skovvej / Louisevej,Holcher,1 gang,ved busstop,,56.14941,10.13468
Vest,ved Brabrand Skovvej 18,Holcher,1 gang,ved busstop,,56.14929,10.12886
Vest,Engdalsvej 110,Holcher,1 gang,ved busstop,,56.14958,10.12412
Vest,Engdalsvej o.f.  63,Holcher,1 gang,ved busstop,v/ Brabrand Hallen,56.15023,10.11901
Vest,Engdalsvej 63,Holcher,1 gang,ved busstop,,56.15034,10.11927
Vest,Engdalsvej 62,Holcher,1 gang,ved busstop,,56.15110,10.11409
Vest,Hovedgaden 1,Holcher,1 gang,ved busstop,,56.15279,10.11195
Vest,Hovedgaden 19,Holcher,1 gang,ved busstop,,56.15325,10.10787
Vest,Hovedgaden 30,Holcher,1 gang,ved busstop,,56.15340,10.10772
Vest,Hovedgaden 47,Holcher,1 gang,ved busstop,,56.15316,10.10349
Vest,Hovedgadeb 58,Holcher,1 gang,ved busstop,Nordea,56.15331,10.10347
Vest,Hovedgaden 73,Holcher,1 gang,ved busstop,,56.15319,10.10043
Vest,Janesvej 11,RM 70,1 gang,bus endestation,ved Tovhøjs Skolen,56.16580,10.13615
Vest,Janesvej 1-9 / brandvej,RM 512,1 gang,ved busstop,85 ltr,56.16558,10.13947
Vest,Janesvej  2 / brandvej,RM 30,1 gang,ved busstop,ved Tovhøjs Skolen,56.16575,10.13917
Vest,Lenesvej 11 / brandvej,RM 30,1 gang,ved busstop,,56.16415,10.14073
Vest,Edwin Rahrs Vej / Åby Ringvej,RM 70,1 gang,ved busstop,,56.16279,10.14243
Vest,Edwin Rahrs Vej / Gudrunsvej,RM 70,1 gang,ved busstop,,56.16254,10.14198
Vest,Edwin Rahrs Vej 8,Holcher,1 gang,ved busstop,efter gangbro,56.16255,10.13667
Vest,Edwin Rahrs Vej 34,Holcher,1 gang,ved bussstop,,56.16228,10.13090
Vest,Spobjergvej 3 A,RM 70,2 gange,bus endestation,buslomme,56.16774,10.11722
Vest,Holmstrupgårdsvej 11,RM 30,1 gang,ved busstop,,56.16597,10.12037
Vest,Hejredalsvej / Edwin Rahrs Vej,Holcher,3 gange,ved busstop,syd,56.16190,10.13168
Vest,Sigridsvej / Emmasvej,Holcher,3 gange,ved busstop,,56.15875,10.12966
Vest,Sigridsvej / Dortesvej,Holcher,3 gange,ved busstop,,56.15863,10.12989
Vest,Sigridsvej 49,Holcher,3 gange,ved busstop,,56.15598,10.13083
Vest,Gudrunsvej 7,Holcher,2 gange,ved busstop - vest,ved City Vest - gangbro,56.15531,10.13467
Vest,Gudrunsvej 7,SvingLine,2 gange,ved busstop - øst,ved City Vest - gangbro,56.15534,10.13506
Vest,Gudrunsvej 80,SvingLine,2 gange,ved busstop - vest,ved City Vest - gangbro,56.15549,10.13443
Vest,Gudrunsvej 80,Holcher,2 gange,ved busstop - øst,ved City Vest - gangbro,56.15552,10.13480
